"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 31 18:07:30 IST 2021","Wed Mar 31 18:07:30 IST 2021","76","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Then I expect that element ""#center_column > h1"" contains the text ""MY ACCOUNT""","Then I expect that element ""#center_column > h1"" contains the text ""MY ACCOUNT""",""
"passed","Wed Mar 31 18:07:30 IST 2021","Wed Mar 31 18:07:30 IST 2021","72","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Then I expect that element ""#header > div.nav > div > div > nav > div:nth-child(1) > a > span"" contains the text ""Ajith Kumar""","Then I expect that element ""#header > div.nav > div > div > nav > div:nth-child(1) > a > span"" contains the text ""Ajith Kumar""",""
"passed","Wed Mar 31 18:07:26 IST 2021","Wed Mar 31 18:07:27 IST 2021","166","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I set ""Near KB busstop"" to the inputfield ""#other""","And I set ""Near KB busstop"" to the inputfield ""#other""",""
"passed","Wed Mar 31 18:07:11 IST 2021","Wed Mar 31 18:07:11 IST 2021","2","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Given I open the url ""http://automationpractice.com/index.php""","Given I open the url ""http://automationpractice.com/index.php""",""
"passed","Wed Mar 31 18:07:37 IST 2021","Wed Mar 31 18:07:37 IST 2021","181","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","When I click on the button ""#add_to_cart""","When I click on the button ""#add_to_cart""",""
"passed","Wed Mar 31 18:07:47 IST 2021","Wed Mar 31 18:07:47 IST 2021","78","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Then I expect that element ""#order_step > li.step_current.four > span"" contains the text ""04. Shipping""","Then I expect that element ""#order_step > li.step_current.four > span"" contains the text ""04. Shipping""",""
"passed","Wed Mar 31 18:01:40 IST 2021","Wed Mar 31 18:01:40 IST 2021","273","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I set ""ajihmt2@gmail.com"" to the inputfield ""#email_create""","And I set ""ajihmt2@gmail.com"" to the inputfield ""#email_create""",""
"passed","Wed Mar 31 18:07:27 IST 2021","Wed Mar 31 18:07:30 IST 2021","2423","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I click on the button ""#submitAccount""","And I click on the button ""#submitAccount""",""
"passed","Wed Mar 31 18:07:41 IST 2021","Wed Mar 31 18:07:41 IST 2021","61","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Then I expect that element ""[class*='cart_description'] a"" contains the text ""Faded Short Sleeve T-shirts""","Then I expect that element ""[class*='cart_description'] a"" contains the text ""Faded Short Sleeve T-shirts""",""
"passed","Wed Mar 31 18:07:22 IST 2021","Wed Mar 31 18:07:22 IST 2021","212","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","When I click on the button ""#SubmitCreate""","When I click on the button ""#SubmitCreate""",""
"passed","Wed Mar 31 18:07:47 IST 2021","Wed Mar 31 18:07:47 IST 2021","238","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","When I click on the button ""#form > p > button > span""","When I click on the button ""#form > p > button > span""",""
"skipped","Wed Mar 31 18:07:47 IST 2021","Wed Mar 31 18:07:47 IST 2021","0","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Then I expect that element ""#order_step > li.step_current.first > span"" contains the text "" Summary""","Then I expect that element ""#order_step > li.step_current.first > span"" contains the text "" Summary""",""
"passed","Wed Mar 31 18:07:30 IST 2021","Wed Mar 31 18:07:30 IST 2021","89","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I wait on element ""#center_column > h1"" for 5000ms to be displayed","And I wait on element ""#center_column > h1"" for 5000ms to be displayed",""
"passed","Wed Mar 31 18:07:34 IST 2021","Wed Mar 31 18:07:37 IST 2021","2933","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I click on the element ""#center_column > ul > li:nth-child(1) > div > div.left-block > div > a.product_img_link > img""","And I click on the element ""#center_column > ul > li:nth-child(1) > div > div.left-block > div > a.product_img_link > img""",""
"passed","Wed Mar 31 18:07:25 IST 2021","Wed Mar 31 18:07:25 IST 2021","113","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I select the option with the value ""1"" for element ""#days""","And I select the option with the value ""1"" for element ""#days""",""
"passed","Wed Mar 31 18:07:41 IST 2021","Wed Mar 31 18:07:44 IST 2021","2257","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","When I click on the button ""#center_column > p.cart_navigation.clearfix > .button-medium""","When I click on the button ""#center_column > p.cart_navigation.clearfix > .button-medium""",""
"skipped","Wed Mar 31 18:07:47 IST 2021","Wed Mar 31 18:07:47 IST 2021","1","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Then I expect that element ""#form > div > p.checkbox > label"" contains the text ""I agree to the terms of service and will adhere to them unconditionally. (Read the Terms of Service)""","Then I expect that element ""#form > div > p.checkbox > label"" contains the text ""I agree to the terms of service and will adhere to them unconditionally. (Read the Terms of Service)""",""
"passed","Wed Mar 31 18:07:26 IST 2021","Wed Mar 31 18:07:26 IST 2021","90","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I select the 1st option for element ""#id_state""","And I select the 1st option for element ""#id_state""",""
"passed","Wed Mar 31 18:07:24 IST 2021","Wed Mar 31 18:07:24 IST 2021","115","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Then I expect that element ""#noSlide > h1"" contains the text ""CREATE AN ACCOUNT""","Then I expect that element ""#noSlide > h1"" contains the text ""CREATE AN ACCOUNT""",""
"passed","Wed Mar 31 18:07:26 IST 2021","Wed Mar 31 18:07:26 IST 2021","158","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I set ""45564"" to the inputfield ""#postcode""","And I set ""45564"" to the inputfield ""#postcode""",""
"passed","Wed Mar 31 18:07:47 IST 2021","Wed Mar 31 18:07:47 IST 2021","97","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Then I expect that element ""#form > div > p.carrier_title"" contains the text ""Terms of service""","Then I expect that element ""#form > div > p.carrier_title"" contains the text ""Terms of service""",""
"passed","Wed Mar 31 18:07:24 IST 2021","Wed Mar 31 18:07:24 IST 2021","285","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I set ""Ajith"" to the inputfield ""#customer_firstname""","And I set ""Ajith"" to the inputfield ""#customer_firstname""",""
"passed","Wed Mar 31 18:07:27 IST 2021","Wed Mar 31 18:07:27 IST 2021","375","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I set ""AK General Company, Bangalore"" to the inputfield ""#alias""","And I set ""AK General Company, Bangalore"" to the inputfield ""#alias""",""
"passed","Wed Mar 31 18:07:26 IST 2021","Wed Mar 31 18:07:26 IST 2021","256","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I set ""New complex apartment"" to the inputfield ""#address2""","And I set ""New complex apartment"" to the inputfield ""#address2""",""
"passed","Wed Mar 31 18:07:25 IST 2021","Wed Mar 31 18:07:25 IST 2021","88","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I select the 3rd option for element ""#years""","And I select the 3rd option for element ""#years""",""
"passed","Wed Mar 31 18:07:38 IST 2021","Wed Mar 31 18:07:38 IST 2021","98","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Then I expect that element ""//h1[@itemprop='name']"" contains the text ""Faded Short Sleeve T-shirts""","Then I expect that element ""//h1[@itemprop='name']"" contains the text ""Faded Short Sleeve T-shirts""",""
"passed","Wed Mar 31 18:07:25 IST 2021","Wed Mar 31 18:07:26 IST 2021","216","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I set ""#123,1st Main"" to the inputfield ""#address1""","And I set ""#123,1st Main"" to the inputfield ""#address1""",""
"passed","Wed Mar 31 18:07:27 IST 2021","Wed Mar 31 18:07:27 IST 2021","234","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I set ""9900563356"" to the inputfield ""#phone_mobile""","And I set ""9900563356"" to the inputfield ""#phone_mobile""",""
"passed","Wed Mar 31 18:07:22 IST 2021","Wed Mar 31 18:07:24 IST 2021","2074","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I wait on element ""#account-creation_form"" for 5000ms to be displayed","And I wait on element ""#account-creation_form"" for 5000ms to be displayed",""
"passed","Wed Mar 31 18:07:34 IST 2021","Wed Mar 31 18:07:34 IST 2021","38","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I wait on element ""#center_column > ul > li:nth-child(1) > div > div.left-block > div > a.product_img_link > img"" for 5000ms to be displayed","And I wait on element ""#center_column > ul > li:nth-child(1) > div > div.left-block > div > a.product_img_link > img"" for 5000ms to be displayed",""
"passed","Wed Mar 31 18:07:26 IST 2021","Wed Mar 31 18:07:26 IST 2021","189","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I set ""Bangalore"" to the inputfield ""#city""","And I set ""Bangalore"" to the inputfield ""#city""",""
"passed","Wed Mar 31 18:07:25 IST 2021","Wed Mar 31 18:07:25 IST 2021","237","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I set ""AK General"" to the inputfield ""#company""","And I set ""AK General"" to the inputfield ""#company""",""
"passed","Wed Mar 31 18:07:25 IST 2021","Wed Mar 31 18:07:25 IST 2021","210","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I set ""abcde12"" to the inputfield ""#passwd""","And I set ""abcde12"" to the inputfield ""#passwd""",""
"passed","Wed Mar 31 18:07:24 IST 2021","Wed Mar 31 18:07:24 IST 2021","116","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","When I click on the button ""#id_gender1""","When I click on the button ""#id_gender1""",""
"passed","Wed Mar 31 18:07:38 IST 2021","Wed Mar 31 18:07:38 IST 2021","64","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I expect that element ""#add_to_cart"" contains the text ""Add to cart""","And I expect that element ""#add_to_cart"" contains the text ""Add to cart""",""
"passed","Wed Mar 31 18:07:21 IST 2021","Wed Mar 31 18:07:22 IST 2021","342","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I set ""ajihmt3@gmail.com"" to the inputfield ""#email_create""","And I set ""ajihmt3@gmail.com"" to the inputfield ""#email_create""",""
"passed","Wed Mar 31 18:07:37 IST 2021","Wed Mar 31 18:07:38 IST 2021","1138","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Then I expect that element ""div.layer_cart_product"" contains the text ""Product successfully added to your shopping cart""","Then I expect that element ""div.layer_cart_product"" contains the text ""Product successfully added to your shopping cart""",""
